DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BRB,BOG,431,18254,75218622
BRB,BOG,959,12246,50462431
BRB,BOG,36,2741,11294867
BRB,BOG,723,7674,31622462
BEL,BOG,60,237,990647
BEL,BOG,36,243,1016690
BEL,BOG,380,2582,10811279
BEL,BOG,99,302,1265649
BEL,BOG,140,1081,4528209
BEL,BOG,207,1223,5121006
BEL,BOG,350,1418,5935087
BEL,BOG,1,40,164825
BEL,BOG,45,16456,72185780
BEL,BOG,1400,7524,31974818
BEL,BOG,1160,8700,36959225
BEL,BOG,140,1190,4832388
BEL,BOG,756,3994,16594747
BEL,BOG,155,7776,32041941
BEL,BOG,348,59676,251958244
BLZ,BOG,1,64,271903
BLZ,BOG,10,136,572093
BLZ,BOG,2,104,439097
BLZ,BOG,12,210,886639
BLZ,BOG,515,10564,44740422
BLZ,BOG,16,642,2798735
BLZ,BOG,247,12482,54412590
BLZ,BOG,2,2252,9877223
BLR,BOG,32458,32523,137487912
BLR,BOG,72650,25065,103804860
BLR,BOG,39500,7804,32317649
BLR,BOG,66500,22300,92355711
BLR,BOG,2650,500,2070715
BLR,BOG,85600,16432,68052102
BLR,BOG,7950,2764,11444842
BLR,BOG,10000,1900,7868717
BLR,BOG,1120,3464,15195390
BLR,BOG,104,274,1201945
BLR,BOG,12850,4496,18617799
BLR,BOG,1750,333,1377025
BLR,BOG,6400,1212,5019413
BLR,BOG,1600,598,2478232
BLR,BOG,400,51,207914
BLR,BOG,12700,1613,6549713
BLR,BOG,11225,3633,15438984
BLR,BOG,7850,1013,4304744
BLR,BOG,25350,2892,12290799
BLR,BOG,12000,1632,6877199
BLR,BOG,500,0,212
BLR,BOG,246,446,1882740
BLR,BOG,3,27,114822
BOL,BOG,164,647,2730468
BOL,BOG,683,2658,11223160
BOL,BOG,160,1248,5269168
BOL,BOG,250,1988,8391404
BOL,BOG,860,2944,12430677
BOL,BOG,180,675,2849911
BOL,BOG,500,1855,7831175
BOL,BOG,180,708,2990506
BOL,BOG,253,963,4064944
BOL,BOG,340,2556,10791662
BOL,BOG,180,1289,5441430
BOL,BOG,700,4515,19062736
BOL,BOG,160,662,2796712
BOL,BOG,250,1678,7082556
BOL,BOG,180,1433,6049411
BOL,BOG,643,15367,65295785
BOL,BOG,170,5910,25112865
BOL,BOG,50,371,1576379
BOL,BOG,172,26660,109855729
BOL,BOG,89,408,1682408
BOL,BOG,99,734,3025565
BOL,BOG,32,249,1024551
BOL,BOG,10,64,264956
BOL,BOG,102,373,1536909
BOL,BOG,198,757,3118732
BOL,BOG,66,151,622791
BOL,BOG,13,29,120528
BOL,BOG,132,553,2278291
BOL,BOG,10,98,402173
BOL,BOG,45,284,1170050
BOL,BOG,15,49,200880
BOL,BOG,250,1168,4814038
BOL,BOG,160,769,3247632
BOL,BOG,1666,4560,19254208
BOL,BOG,204,530,2239397
BOL,BOG,19,502,2118391
BOL,BOG,18,359,1514633
BOL,BOG,149,901,3821111
BOL,BOG,12,66,278238
BOL,BOG,38,178,756550
BOL,BOG,65,420,1779893
BOL,BOG,39,138,586826
BOL,BOG,32,140,591404
BOL,BOG,90,371,1574097
BOL,BOG,239,752,3189226
BOL,BOG,33,114,481915
BOL,BOG,245,704,2983260
BOL,BOG,101,577,2447130
BOL,BOG,319,790,3347123
BOL,BOG,48,182,769775
BOL,BOG,266,879,3724593
BOL,BOG,11,103,435499
BOL,BOG,74,303,1282930
BOL,BOG,59,594,2518386
BOL,BOG,4,20,83251
BOL,BOG,38,163,691017
BOL,BOG,20,37,155990
BOL,BOG,85400,12943,53333185
BOL,BOG,58404,10426,42963397
BOL,BOG,320,713,3069075
BOL,BOG,1535,3484,15022028
BOL,BOG,150,266,1152376
BOL,BOG,298,621,2718571
BOL,BOG,903,2445,10301429
BOL,BOG,651,1218,5174077
BOL,BOG,28,63,272468
BOL,BOG,110,212,911534
BOL,BOG,165,310,1335168
BOL,BOG,14,25,103495
BOL,BOG,175,403,1732180
BOL,BOG,5,11,47389
BOL,BOG,180,2439,10536194
BOL,BOG,110,1198,5049614
BOL,BOG,397,37376,163274174
BOL,BOG,1049,142869,580010829
BOL,BOG,135,15572,64167860
BOL,BOG,1730,90465,368271431
BOL,BOG,281,22356,92121446
BOL,BOG,100,3903,15821825
BOL,BOG,44,2191,8882802
BOL,BOG,853,20666,83896974
BOL,BOG,147,5342,22677212
BOL,BOG,71,3407,14449279
BOL,BOG,77,20232,82016483
BOL,BOG,20,1104,4692777
BOL,BOG,2132,48127,203198045
BOL,BOG,2817,99775,419625841
